2023-12-20 08:49:32.900 | INFO     | scripts.pipeline_class:<module>:28 - Running on darwin
2023-12-20 08:49:32.903 | INFO     | scripts.pipeline_ai:<module>:29 - Running on darwin
2023-12-20 08:49:32.908 | INFO     | scripts.pipeline_class:process:193 - hindi process started
2023-12-20 08:49:32.909 | INFO     | scripts.pipeline_class:__init__:33 - Class initialized
2023-12-20 08:49:32.909 | INFO     | scripts.pipeline_class:__init__:39 - Device: cpu
2023-12-20 08:49:32.909 | INFO     | scripts.pipeline_class:start:161 - Starting Pipeline
2023-12-20 08:49:32.909 | INFO     | scripts.pipeline_class:transcibe:55 - Starting Transcription
2023-12-20 08:49:44.543 | INFO     | scripts.pipeline_class:transcibe:64 - Transciption Done
2023-12-20 08:50:16.306 | INFO     | scripts.pipeline_class:translate:96 - Translating in hin_Deva
2023-12-20 08:50:17.323 | INFO     | scripts.pipeline_class:translate:103 - Translation Done
2023-12-20 08:50:34.295 | INFO     | scripts.pipeline_class:translate:96 - Translating in hin_Deva
2023-12-20 08:50:35.145 | INFO     | scripts.pipeline_class:translate:103 - Translation Done
2023-12-20 08:50:51.095 | INFO     | scripts.pipeline_class:translate:96 - Translating in hin_Deva
2023-12-20 08:50:52.457 | INFO     | scripts.pipeline_class:translate:103 - Translation Done
2023-12-20 08:51:09.109 | INFO     | scripts.pipeline_class:translate:96 - Translating in hin_Deva
2023-12-20 08:51:10.425 | INFO     | scripts.pipeline_class:translate:103 - Translation Done
2023-12-20 08:51:27.793 | INFO     | scripts.pipeline_class:translate:96 - Translating in hin_Deva
2023-12-20 08:51:28.252 | INFO     | scripts.pipeline_class:translate:103 - Translation Done
2023-12-20 08:51:44.714 | INFO     | scripts.pipeline_class:translate:96 - Translating in hin_Deva
2023-12-20 08:51:45.519 | INFO     | scripts.pipeline_class:translate:103 - Translation Done
2023-12-20 08:52:01.691 | INFO     | scripts.pipeline_class:translate:96 - Translating in hin_Deva
2023-12-20 08:52:02.562 | INFO     | scripts.pipeline_class:translate:103 - Translation Done
2023-12-20 08:52:18.591 | INFO     | scripts.pipeline_class:translate:96 - Translating in hin_Deva
2023-12-20 08:52:19.304 | INFO     | scripts.pipeline_class:translate:103 - Translation Done
2023-12-20 08:52:35.592 | INFO     | scripts.pipeline_class:translate:96 - Translating in hin_Deva
2023-12-20 08:52:36.373 | INFO     | scripts.pipeline_class:translate:103 - Translation Done
